2019-05-23 23:17:08.243651,lda;,0,kruskal_wallis,kfold_cross_val_predictions,5,0.8953094518404184,0.8464258932733426,0.9501854253407048,0.5024705822423717,0.6925507266727515,0.39426036212478516,0.827017932255922
2019-05-23 23:23:29.505275,lda;,0,kruskal_wallis,kfold_cross_val_predictions,5,0.8953094518404184,0.8464258932733426,0.9501854253407048,0.5024705822423717,0.6925507266727515,0.39426036212478516,0.827017932255922
2019-05-23 23:23:31.783348,lda;,0,select_k_best,kfold_cross_val_predictions,5,0.8990400313459153,0.8617840375586855,0.9396628216503993,0.5592721052881645,0.6893704245973645,0.4704824333506535,0.8357139694487492
2019-05-23 23:23:55.280216,lda;,0,ROC,kfold_cross_val_predictions,5,0.8754301650937523,0.7785612415735811,0.9998293631834004,0.001676312113350629,0.5833333333333334,0.0008393620848155402,0.7784990037635598
2019-05-23 23:23:58.289406,euclidean;,0,kruskal_wallis,kfold_cross_val_predictions,5,0.7829112000569023,0.9070192523784553,0.6886788160080085,0.5284624784055956,0.4073841489822434,0.7519485191254647,0.7026964799645783
2019-05-23 23:23:59.317494,euclidean;,0,select_k_best,kfold_cross_val_predictions,5,0.8442122535653096,0.898687353900691,0.795963870498032,0.5702160236993643,0.48852197222459864,0.6847196130940485,0.7713172459597077
2019-05-23 23:24:25.866824,euclidean;,0,ROC,kfold_cross_val_predictions,5,0.6752159988329763,0.8093951196248311,0.5791982344777376,0.3472594250989486,0.26047580967612954,0.520764219193413,0.5662519371264113
2019-05-23 23:24:27.787634,mahalanobis;,0,kruskal_wallis,kfold_cross_val_predictions,5,0.8008553930252568,0.9022095509622238,0.7199736081723659,0.5357111248783079,0.4245236703682057,0.7258083856269235,0.7212663272083241
2019-05-23 23:24:30.103509,mahalanobis;,0,select_k_best,kfold_cross_val_predictions,5,0.8393739502957428,0.9024154083688797,0.784565331149182,0.5709223316752821,0.48113646949231487,0.7019065510212239,0.7662519371264114
2019-05-23 23:24:58.379308,mahalanobis;,0,ROC,kfold_cross_val_predictions,5,0.6770377122926617,0.8073160357294769,0.582963620230701,0.3434541474747204,0.25861511082349137,0.5111315400295775,0.5670489262785035
2019-05-23 23:24:59.901777,bayes;,0,kruskal_wallis,kfold_cross_val_predictions,5,0.8795450994397447,0.8632062038598874,0.8965144586262599,0.5372379196501308,0.5793683821149489,0.5008193772732723,0.8088465795882223
2019-05-23 23:25:01.048044,bayes;,0,select_k_best,kfold_cross_val_predictions,5,0.8802667508571367,0.8577890043934929,0.9039542238300002,0.5228772595846116,0.583842665615142,0.47344018545905114,0.8085720611025017
2019-05-23 23:25:25.292482,bayes;,0,ROC,kfold_cross_val_predictions,5,0.8660900625079729,0.7852945803144288,0.965417605169158,0.12157322175732217,0.37397034596375617,0.072584835525001,0.7676068186849679
2019-05-23 23:25:26.622590,knearest_neighbours;,0,kruskal_wallis,kfold_cross_val_predictions,5,0.8822528119099095,0.8501777444909756,0.9168429913771529,0.5013790705759648,0.5967119055500386,0.4323114433030896,0.8094930263449192
2019-05-23 23:25:40.603802,knearest_neighbours;,0,select_k_best,kfold_cross_val_predictions,5,0.8896280749439675,0.8582530636412659,0.9233840693468023,0.5355685198422764,0.6329300196206671,0.4641672329029937,0.821642683196812
2019-05-23 23:28:17.628194,knearest_neighbours;,0,ROC,kfold_cross_val_predictions,5,0.8418594034493558,0.7891955372871403,0.9020544672718586,0.20487362212079963,0.3083226221079691,0.1534034134058116,0.7361877352224928
2019-05-23 23:28:39.701139,svm;,0,kruskal_wallis,kfold_cross_val_predictions,5,0.8991432325886991,0.8357207066364418,0.9729825040384047,0.4610112359550562,0.7755410641716284,0.3279907270474439,0.830081912773965
2019-05-24 00:35:15.817427,svm;,0,select_k_best,kfold_cross_val_predictions,5,0.9033843988119679,0.850227338880469,0.9636316064887493,0.5270795813431473,0.759515570934256,0.403573284303929,0.8395483728138144
2019-05-24 01:42:48.087741,svm;,0,ROC,kfold_cross_val_predictions,5,0.8749401388778035,0.7791272055295936,0.9976224603553796,0.01244780587725518,0.4305177111716621,0.006315200447659778,0.7779942439672349
